ROCK;IJK;XC;YC;ZC;XINC;YINC;ZINC;XMORIG;YMORIG;ZMORIG;NX;NY;NZ;DENSITY;AU;CU
8;187566;7903.75;6591.25;289.0626725;12.5;12.5;1.08443505;7410;6010;77.10489;95;95;50;1.75;2.66;0
8;187567;7903.75;6591.25;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.09;0.12
8;187568;7903.75;6591.25;302.7570867;12.5;12.5;1.3043934;7410;6010;77.10489;95;95;50;1.75;2.66;0.09
8;187616;7903.75;6603.75;285.7174897;12.5;12.5;7.77480053;7410;6010;77.10489;95;95;50;1.75;0.8;0.1
8;187617;7903.75;6603.75;292.870008;12.5;12.5;6.53023592;7410;6010;77.10489;95;95;50;1.75;0.8;0.06
8;187764;7903.75;6641.25;260.9401764;12.5;12.5;7.32942713;7410;6010;77.10489;95;95;50;1.75;1.18;0.13
8;187765;7903.75;6641.25;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.13;0.03
8;187766;7903.75;6641.25;277.7135727;12.5;12.5;1.21736536;7410;6010;77.10489;95;95;50;1.75;2.31;0.2
8;187813;7903.75;6653.75;250.9918363;12.5;12.5;2.22610741;7410;6010;77.10489;95;95;50;1.75;1.47;0.16
8;187814;7903.75;6653.75;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.18;0.13
8;187815;7903.75;6653.75;268.3789814;12.5;12.5;7.54818272;7410;6010;77.10489;95;95;50;1.75;0.13;0.03
8;187863;7903.75;6666.25;248.7298854;12.5;12.5;6.75000923;7410;6010;77.10489;95;95;50;1.75;1.47;0.16
8;187864;7903.75;6666.25;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.18;0.14
8;187865;7903.75;6666.25;265.7652729;12.5;12.5;2.32076573;7410;6010;77.10489;95;95;50;1.75;0.13;0.06
8;192218;7916.25;6566.25;311.1681994;12.5;12.5;6.87338127;7410;6010;77.10489;95;95;50;1.75;1.28;0.13
8;192219;7916.25;6566.25;316.3523288;12.5;12.5;3.49487764;7410;6010;77.10489;95;95;50;1.75;1.05;0.14
8;192267;7916.25;6578.75;299.6819293;12.5;12.5;4.84592136;7410;6010;77.10489;95;95;50;1.75;0;0
8;192268;7916.25;6578.75;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.83;0.06
8;192269;7916.25;6578.75;315.4023035;12.5;12.5;1.59482706;7410;6010;77.10489;95;95;50;1.75;2.66;0.07
8;192316;7916.25;6591.25;289.2450145;12.5;12.5;0.71975106;7410;6010;77.10489;95;95;50;1.75;1.15;0
8;192317;7916.25;6591.25;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.09;0.11
6;192318;7916.25;6591.25;310.4272094;12.5;12.5;8.35536112;7410;6010;77.10489;95;95;50;2.01;2.66;0.21
8;192318;7916.25;6591.25;303.4342936;12.5;12.5;2.65880729;7410;6010;77.10489;95;95;50;1.75;2.66;0.21
6;192319;7916.25;6591.25;316.2334015;12.5;12.5;3.25702296;7410;6010;77.10489;95;95;50;2.01;0.28;0.05
8;192366;7916.25;6603.75;285.7507185;12.5;12.5;7.70834295;7410;6010;77.10489;95;95;50;1.75;1.15;0.1
6;192367;7916.25;6603.75;300.8085367;12.5;12.5;2.59270662;7410;6010;77.10489;95;95;50;2.01;0.8;0.06
8;192367;7916.25;6603.75;293.2510488;12.5;12.5;7.2923176;7410;6010;77.10489;95;95;50;1.75;0.8;0.06
6;192368;7916.25;6603.75;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;0.63;0.05
