X	Y	Z	CUT	DENSITY	ZONE
-140	-10	0	3.941598542	2.441817733	2
-140	0	0	4.242539766	1.9425625	2
-140	0	10	5.412390521	2.934678269	2
-130	-30	0	0.797634377	2.410693047	2
-130	-20	0	4.777917925	1.687800647	2
-130	-20	10	1.40939814	3.665616653	2
-130	-10	0	1.60780545	3.301308167	2
-130	-10	10	5.24975327	2.213965997	2
-130	0	0	1.87969595	3.023774903	2
-130	0	10	1.490908711	3.467605007	2
-120	-40	0	4.020416592	3.067823815	2
-120	-30	0	1.008093009	2.012513163	2
-120	-30	10	3.39263084	3.379982454	2
-120	-20	0	2.599438382	1.913435426	2
-120	-20	10	1.907279164	1.788822092	2
-120	-10	0	4.490881972	1.854302628	2
-120	-10	10	3.060566821	3.009172606	2
-120	0	0	1.46041344	2.221450819	2
-120	0	10	1.244100737	2.26604318	2
-120	10	0	5.132883266	3.669132629	2
-110	-50	0	1.71347517	1.921414524	2
-110	-50	10	4.709975214	2.162788951	2
-110	-40	0	1.440847039	1.938342727	2
-110	-40	10	0.612830849	3.129333651	2
-110	-30	0	3.655562808	2.135212098	2
-110	-30	10	1.757694853	2.623608577	2
-110	-20	0	3.899332833	3.480113418	2
-110	-20	10	1.104560332	2.77988404	2
-110	-10	0	3.971806456	3.236424222	2
-110	-10	10	3.765846726	2.453929735	2
-110	0	0	2.651032135	3.26686323	2
-110	0	10	4.054467374	1.744059974	2
-110	10	0	1.944464066	3.042814112	2
-110	10	10	3.83702719	3.262497664	2
-100	-70	0	2.495168425	2.002908458	2
-100	-60	0	2.841581227	2.380623228	2
-100	-60	10	1.902664972	3.02725092	2
-100	-50	0	1.711330561	2.108064518	2
-100	-50	10	4.755628048	3.373908749	2
-100	-40	0	1.960174384	2.928372935	2
-100	-40	10	2.074034091	2.145408118	2
-100	-30	0	0.70715531	1.972167853	2
-100	-30	10	3.688298227	2.001590004	2
-100	-20	0	2.12742936	2.540344036	2
-100	-20	10	1.814873636	2.199164525	2
-100	-10	0	3.533543651	3.491420447	2
-100	-10	10	1.014534076	2.299291376	2
-100	0	0	3.600677249	3.08271662	2
-100	0	10	4.44807134	1.572377665	2
-100	10	0	0.872777671	3.268249125	2
-100	10	10	3.830090574	1.674324628	2
-90	-80	0	5.248456932	3.60185612	2
-90	-70	0	3.479469977	2.762903983	2
-90	-70	10	2.527553467	3.366033999	2
-90	-60	0	3.258708054	3.186942174	2
-90	-60	10	3.889974128	2.354647806	2
-90	-50	0	1.914160793	1.954994298	2
-90	-50	10	4.658211857	1.974282246	2
-90	-40	0	4.675935464	3.684051339	2
-90	-40	10	1.825227816	3.540254957	2
-90	-30	-10	2.27263265	2.347965556	2
-90	-30	0	1.877940561	3.486087276	2
-90	-30	10	3.544820681	3.431042107	2
-90	-20	-10	2.102857493	1.766391919	2
-90	-20	0	1.792668911	2.340702543	2
-90	-20	10	2.471307388	2.113016477	2
-90	-10	0	1.9579469	1.78199764	2
-90	-10	10	1.894149779	1.719662998	2
-90	0	0	0.559947264	2.908197756	2
-90	0	10	5.356569944	3.328241537	2
-90	10	0	3.355291662	2.022855277	2
-90	10	10	2.762109089	3.34043566	2
-80	-90	0	5.224459947	2.828613133	2
-80	-80	0	1.431987044	3.507487666	2
-80	-80	10	4.394837185	3.268555509	2
-80	-70	0	2.653588024	2.044820895	2
-80	-70	10	4.084878895	2.069782453	2
-80	-60	0	1.239031524	2.545963901	2
-80	-60	10	3.190073344	2.153417368	2
-80	-50	-10	1.732769511	1.553873592	2
-80	-50	0	4.049763568	2.10194911	2
-80	-50	10	0.904382182	2.692091058	2
-80	-40	-10	4.959783576	3.064308723	2
-80	-40	0	4.142509785	2.072176928	2
-80	-40	10	1.213780163	2.645068	2
-80	-30	-10	0.783032406	2.249238636	2
-80	-30	0	2.678631404	2.992732078	2
-80	-30	10	2.286594732	2.637110521	2
-80	-20	-10	2.784831732	1.72462164	2
-80	-20	0	1.01230635	3.252071316	2
-80	-20	10	5.197601393	3.496928403	2
-80	-10	-10	4.013151033	3.032806805	2
-80	-10	0	3.252598859	3.045763305	2
-80	-10	10	0.816474219	1.528217512	2
-80	0	0	5.307963889	2.505023953	2
-80	0	10	1.934851984	3.049134397	2
-80	10	0	1.887067979	2.344061075	2
-80	10	10	1.593493875	2.711270694	2
-80	20	0	2.37460538	3.211103305	2
-70	-100	0	2.192337144	2.856301301	2
-70	-100	10	2.421331455	2.679226895	2
-70	-90	0	1.845270793	1.780127416	2
-70	-90	10	0.732178864	2.109229239	2
-70	-80	0	2.729942014	3.67760414	2
-70	-80	10	4.156996305	3.459923679	2
-70	-80	20	2.892579314	3.454717626	2
-70	-70	0	2.454700854	3.136155712	2
-70	-70	10	2.481793046	3.672691294	2
-70	-60	-10	5.387899235	2.425962232	2
-70	-60	0	4.470362063	2.415068172	2
-70	-60	10	4.865311655	2.979707196	2
-70	-50	-10	2.165603824	3.424680453	2
-70	-50	0	5.461175486	3.127647995	2
-70	-50	10	3.556411722	2.607602635	2
-70	-40	-10	3.004628023	3.211399072	2
-70	-40	0	2.406187745	2.838356155	2
-70	-40	10	2.619641949	2.174342423	2
-70	-30	-10	2.007691112	3.639651965	2
-70	-30	0	3.980770877	3.65548683	2
-70	-30	10	5.23615882	3.221042415	2
-70	-20	-10	4.4699993	2.028113239	2
-70	-20	0	5.207608069	2.085066624	2
-70	-20	10	2.03672499	2.275811294	2
-70	-10	-10	4.662738883	2.367725232	2
-70	-10	0	1.219168074	2.728923233	2
-70	-10	10	4.41686894	1.924736354	2
-70	0	-10	0.878476543	2.475662164	2
-70	0	0	3.478292865	2.454433683	2
-70	0	10	3.485037956	3.374567277	2
-70	10	0	4.738214379	2.873639104	2
-70	10	10	2.857863952	3.368890393	2
-70	20	0	2.410459638	3.454025067	2
-70	20	10	4.916841423	3.117791966	2
-60	-110	0	0.974690249	2.714695633	2
-60	-110	10	4.091293855	3.392984573	2
-60	-100	0	4.629761652	1.998430123	2
-60	-100	10	3.171299972	2.52990154	2
-60	-90	0	1.771745829	1.61782769	2
-60	-90	10	1.073451897	2.656641227	2
-60	-90	20	2.167052105	3.377953715	2
-60	-80	-10	5.19296311	1.99090826	2
-60	-80	0	2.429871534	1.958304023	2
-60	-80	10	4.250390898	1.650588846	2
-60	-80	20	2.36426165	2.074352949	2
-60	-70	-10	0.524363434	3.554763092	2
-60	-70	0	4.22427278	2.318427159	2
-60	-70	10	3.188105007	3.024868506	2
-60	-70	20	3.312663467	3.016301572	2
-60	-60	-10	3.249105738	2.340236635	2
-60	-60	0	5.368971051	3.13502685	2
-60	-60	10	3.152171165	2.809210326	2
-60	-50	-10	3.156458458	2.019617792	2
-60	-50	0	4.062956197	3.536009201	2
-60	-50	10	3.522258872	3.600557937	2
-60	-40	-10	4.293729322	1.610976902	2
-60	-40	0	4.828576176	3.285505763	2
-60	-40	10	5.164532743	2.508523875	2
-60	-30	-10	2.924235887	3.684857437	2
-60	-30	0	1.298825058	1.644754617	2
-60	-30	10	1.626374107	1.799843396	2
-60	-20	-10	1.381162716	3.348379607	2
-60	-20	0	1.241173669	2.232776499	2
-60	-20	10	0.563853858	2.090194516	2
-60	-10	-10	4.385754304	1.63188132	2
-60	-10	0	2.554456592	3.554753947	2
-60	-10	10	3.268337785	2.010459255	2
-60	0	-10	3.270349045	2.128515181	2
-60	0	0	2.987521908	2.31976091	2
